Published By,Context,Name,Link,Questions
NITI Aayog,AI Strategy,National Strategy for AI,https://www.niti.gov.in/sites/default/files/2023-03/National-Strategy-for-Artificial-Intelligence.pdf,"- What are the key sectors where India should use AI
- How can AI be leveraged in these sectors
- What are the key challenges in India for adopting AI
- What are some key reccomendations for India to enable adoption of AI"
NITI Aayog,RAI Principles,Responsible AI Part 1,https://www.niti.gov.in/sites/default/files/2021-02/Responsible-AI-22022021.pdf,
NITI Aayog,RAI Principles,Responsible AI Part 2,https://www.niti.gov.in/sites/default/files/2021-08/Part2-Responsible-AI-12082021.pdf,
Ministry of Communications,Fairness,Fairness Assessment and Rating of Artificial Intelligence Systems,https://tec.gov.in/pdf/SDs/TEC%20Standard%20for%20fairness%20assessment%20and%20rating%20of%20AI%20systems%20Final%20v5%202023_07_04.pdf,
NASSCOM ,RAI Framework,The developers playbook for responsible AI in India,https://nasscom.in/ai/pdf/the-developer%27s-playbook-for-responsible-ai-in-india.pdf,
Telangana,AI Strategy,AI-Powered-Telangana-Strategy-Document-and-Implementation-Roadmap,https://it.telangana.gov.in/wp-content/uploads/2024/09/AI-Powered-Telangana-Strategy-Document-and-Implementation-Roadmap.pdf,
Tamil Nadu,AI Policy,Safe & Ethical Artifi cial Intelligence Policy 2020,https://it.tn.gov.in/sites/default/files/2021-06/TN_Safe_Ethical_AI_policy_2020.pdf,
Ministry of Electronics & Information Technology,AI Policy,Report of Committee - A on Platforms and Data on Artificial Intelligence,https://www.meity.gov.in/writereaddata/files/Committes_A-Report_on_Platforms.pdf,
Ministry of Electronics & Information Technology,AI Policy,Report of Committee - B on Leveraging AI for Identifying National Missions in Key Sectors,https://www.meity.gov.in/writereaddata/files/Committes_B-Report-on-Key-Sector.pdf,
Ministry of Electronics & Information Technology,AI Policy,"Report of Committee – C on Mapping Technological Capabilities, Key Policy Enablers Required Across Sectors, Skilling and Re-skilling, and R&D",https://www.meity.gov.in/writereaddata/files/Committes_C-Report-on_RnD.pdf,
Ministry of Electronics & Information Technology,AI Policy,"Report of Committee – D on Cyber Security, Safety, Legal, and Ethical Issues",https://www.meity.gov.in/writereaddata/files/Committes_D-Cyber-n-Legal-and-Ethical.pdf,
Ministry of Electronics & Information Technology,AI Policy,IndiaAI Mission,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2012355,
Ministry of Electronics & Information Technology,AI Policy,Global Partnership on Artificial Intelligence ,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1986475,
Ministry of Electronics & Information Technology,AI Policy,Report on AI Governance Guidelines Development ,https://indiaai.s3.ap-south-1.amazonaws.com/docs/subcommittee-report-dec26.pdf,